Epoch 0/11, Iters: 001500, loss: 48.1741, train_accuracy: 0.0000, time: 0.69 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001600, loss: 47.8463, train_accuracy: 0.0000, time: 0.69 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001700, loss: 47.6827, train_accuracy: 0.0000, time: 0.70 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001800, loss: 46.9001, train_accuracy: 0.0000, time: 0.69 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 001900, loss: 47.6096, train_accuracy: 0.0000, time: 0.69 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002000, loss: 47.1622, train_accuracy: 0.0000, time: 0.67 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002100, loss: 47.1051, train_accuracy: 0.0000, time: 0.68 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002200, loss: 46.7417, train_accuracy: 0.0000, time: 0.72 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002300, loss: 46.1756, train_accuracy: 0.0000, time: 0.73 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002400, loss: 47.5364, train_accuracy: 0.0000, time: 0.69 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002500, loss: 45.9463, train_accuracy: 0.0000, time: 0.68 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002600, loss: 46.7078, train_accuracy: 0.0000, time: 0.68 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002700, loss: 46.9032, train_accuracy: 0.0000, time: 0.67 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002800, loss: 47.6041, train_accuracy: 0.0000, time: 0.69 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 002900, loss: 46.4575, train_accuracy: 0.0000, time: 0.69 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 003000, loss: 46.9964, train_accuracy: 0.0000, time: 0.69 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000100, loss: 86.0791, train_accuracy: 0.0000, time: 0.84 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000200, loss: 84.0872, train_accuracy: 0.0000, time: 0.79 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000300, loss: 85.1285, train_accuracy: 0.0000, time: 0.75 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000400, loss: 78.9440, train_accuracy: 0.0000, time: 0.73 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000500, loss: 63.9117, train_accuracy: 0.0000, time: 0.74 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000600, loss: 55.4204, train_accuracy: 0.0000, time: 0.75 s/iter, learning rate: 0.048788648778305056
Epoch 0/11, Iters: 000700, loss: 52.6972, train_accuracy: 0.0000, time: 0.74 s/iter, learning rate: 0.048788648778305056
